,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YIL139C,280.854720688187,-0.0762389808000831,0.121547393754209,-0.627236655968551,0.530504118506646,0.847602750879912
YKR063C,654.993971254986,-0.0531578350176514,0.0850297360694363,-0.625167588127547,0.531861072093619,0.847602750879912
YLR116W,944.661032477716,0.047758867521326,0.0763269283617879,0.62571452233673,0.531502206150069,0.847602750879912
YML114C,917.236662492253,-0.0485279264414365,0.0776446800474719,-0.625000018182398,0.531971046163894,0.847602750879912
YMR024W,785.087402526573,0.0527769365037825,0.084316324249615,0.625939721322986,0.531354479553101,0.847602750879912
YNR009W,383.978457536976,-0.0661183065014335,0.105413476117353,-0.627228215373774,0.530509650516309,0.847602750879912
YPL118W,861.978976899376,0.0498292318029936,0.0795268421391111,0.62657123636106,0.530940327812595,0.847602750879912
YPR138C,1553.15380836873,0.0438031748961637,0.0699588880978087,0.626127374050356,0.531231398549451,0.847602750879912
YPR144C,2456.82964716126,0.0387684461612485,0.062008025814736,0.625216585302661,0.531828918033792,0.847602750879912
YPR175W,628.960068400103,0.0569766674295069,0.0911660340772262,0.624976922668834,0.531986204365324,0.847602750879912
YBL056W,2198.69665857502,-0.038012427812683,0.0610082650304105,-0.623070133099756,0.533238435473866,0.847672752839214
YDR444W,740.549057038735,-0.0527133878585795,0.084555388385498,-0.623418434532556,0.533009586972927,0.847672752839214
YDR473C,434.309664954216,-0.0642322492746621,0.103064744477238,-0.623222321080393,0.533138435541659,0.847672752839214
YHR032W,2100.29407325334,0.0449259004335048,0.071995650098211,0.624008539018959,0.532621977236874,0.847672752839214
YHR102W,1192.33739251832,0.0441485777917051,0.070820019450105,0.623391212463718,0.533027471212586,0.847672752839214
YLR329W,50.5065569204955,0.170355850894529,0.272881780226905,0.62428444564117,0.532440797111066,0.847672752839214
YOL138C,471.780393965212,0.0598213029028703,0.0958521295393559,0.624099883751756,0.532561990262833,0.847672752839214
YOR073W,444.804404821418,-0.0674015787660784,0.108197395146347,-0.622950105914396,0.533317309825785,0.847672752839214
YOR353C,684.289924905252,-0.0539071859811212,0.0865039826570237,-0.623175769777626,0.533169022542571,0.847672752839214
YDR287W,406.319817822471,0.0654266128116793,0.105082348674603,0.622622292296482,0.533532758460798,0.847787844342399
YGR215W,289.430613880019,0.0911370684432166,0.14654319828333,0.621912647675468,0.533999308156448,0.847852246560442
YJL055W,2709.79504998711,0.0465549921245716,0.0748357353572543,0.622095739452887,0.533878916337556,0.847852246560442
YKL133C,242.975100657188,0.0876974575962052,0.141077580752197,0.621625754628199,0.534187981968939,0.847852246560442
YLR442C,815.15156425735,-0.0495592972818947,0.0797108420990193,-0.621738473422857,0.534113848989801,0.847852246560442
YNL191W,404.70388753962,0.066876651662177,0.107609927931495,0.621472878457374,0.53428853398064,0.847852246560442
YDL029W,4633.90166162398,0.0353510064887094,0.0569809108259204,0.620400867173018,0.534993901651593,0.84791288599058
YDR273W,124.882147515224,0.106517413665458,0.172193635391524,0.618590887074685,0.536185906745653,0.84791288599058
YFR009W,3330.11667964983,-0.0360316135280044,0.0581378151093204,-0.619762085318339,0.535414433883942,0.84791288599058
YGR030C,253.420795376909,-0.0892617252005708,0.143798611260803,-0.620741218694245,0.534769904484648,0.84791288599058
YGR249W,147.550855054586,0.102881387885034,0.166374356174145,0.618372868576858,0.536329578130367,0.84791288599058
YJL110C,625.365164183229,-0.0588155679306921,0.0948449072926539,-0.620123627188654,0.535176397882162,0.84791288599058
YLR087C,330.398827751725,0.0727855864610456,0.117578278230621,0.619039397041366,0.535890405380787,0.84791288599058
YLR092W,494.250692340648,-0.0605105847819939,0.0975176599870546,-0.620508990782045,0.534922736618589,0.84791288599058
YLR368W,421.100518032797,-0.0763133889094412,0.123095172583301,-0.619954359768239,0.535287835427617,0.84791288599058
YLR433C,826.213925229541,0.0515723534101446,0.083379672846624,0.618524295543968,0.536229787652574,0.84791288599058
YNL092W,113.976758159348,0.112143666111842,0.181332888255916,0.618440853120769,0.536284775112136,0.84791288599058
YOL049W,2207.75236505148,-0.0377028582073662,0.0609236831456318,-0.618853888351455,0.536012618072321,0.84791288599058
YPL209C,119.68293603909,-0.112490155521801,0.181639755590008,-0.619303605405145,0.535716369755692,0.84791288599058
YPR091C,1215.72677952684,0.0480152535195205,0.0773229439133277,0.620970323806365,0.534619149092346,0.84791288599058
YBL095W,258.741795400571,-0.0805763155769546,0.13049641316314,-0.617460002339087,0.536931355540716,0.848415760952916
YLR409C,2977.64552747762,-0.0374905464687594,0.0607177553005,-0.617456068380886,0.536933949609311,0.848415760952916
YGL007W,6.63723605345482,-0.459373763266603,0.744261843068164,-0.617220629466733,0.537089210492486,0.848429321009933
YPR191W,2066.03883826469,0.0482972863027501,0.078276476427983,0.617008947090065,0.537228824320951,0.848429321009933
YER159C,507.798665085627,0.067721524802873,0.109802614956963,0.616756939981952,0.537395057859206,0.848465771958314
YGL164C,791.211574987803,-0.0539078956566521,0.0875393376769888,-0.615813382728193,0.538017693791462,0.848996504553248
YML067C,1547.41825581889,-0.0424504499978345,0.0689107521915454,-0.616020702833696,0.537880856064828,0.848996504553248
YER154W,1468.5436155646,0.0471624742405098,0.0766150070857262,0.615577496295716,0.538173407431512,0.849016179357618
YDR354W,1087.5339857828,-0.0461151458935861,0.0749978977451571,-0.614885847204484,0.538630110008778,0.849422842654722
YHL029C,1015.32004873792,-0.045337197625944,0.0737486323486803,-0.614753062966534,0.538717810956487,0.849422842654722
YGR027W-A,0.370101482563907,-2.03589071432153,3.31834296462912,-0.613526309975339,0.539528391688862,0.850022535231229
YNCH0012W,0.669865076314524,1.38907814480211,2.26292482631977,0.613841930870141,0.539319785890588,0.850022535231229
YPR047W,311.523781430586,0.0717378447823124,0.116921342012934,0.613556460670598,0.539508462207428,0.850022535231229
YCR032W,412.629093656227,0.0645647619482905,0.105471044208359,0.61215627884315,0.540434365242383,0.850771442972538
YGL028C,2167.9661387474,0.04080949030392,0.0666393030783838,0.612393713900613,0.540277299814897,0.850771442972538
YMR131C,5306.87984631027,-0.0352132692755392,0.0575119034819959,-0.612277931064526,0.5403538883506,0.850771442972538
